QueryId,QueryCtonten,Title,Tag,Link,Category,Author,Image
0,historical,The Premonition: A Pandemic Story,"public, historical, hard, great, pandemic, good, bad, incompetent, local, critical,",https://www.amazon.com/Premonition-Pandemic-Story-Michael-Lewis/dp/0393881555/ref=sr_1_24?qid=1639358031&s=books&sr=1-24,Medical Books,"Michael Lewis, ",https://m.media-amazon.com/images/I/51y4sn12xoS._AC_UY218_.jpg
0,historical,Chanel: Collections and Creations,"protective, historical, disappointing, famous, little, nice, bent, disappointed, high, poor,",https://www.amazon.com/Chanel-Collections-Creations-Daniele-Bott/dp/0500513600/ref=sr_1_31?qid=1639356780&s=books&sr=1-31,Arts & Photography,"Daniele Bott, ",https://m.media-amazon.com/images/I/81jR3z7fycL._AC_UY218_.jpg
0,historical,A Gentleman in Moscow: A Novel,"interesting, historical, great, relevant, central, absent, posh, hard, authorial, electronic,",https://www.amazon.com/A-Gentleman-in-Moscow/dp/0143110438/ref=sr_1_28?qid=1639358282&s=books&sr=1-28,"Mystery, Thriller & Suspense","Amor Towles, ",https://m.media-amazon.com/images/I/91iSYu4HA7L._AC_UY218_.jpg
0,historical,The President's Daughter: A Thriller,"worth, unnecessary, historical, original, great, difficult, exciting, excited, willing, preposterous,",https://www.amazon.com/Presidents-Daughter-Thriller-James-Patterson/dp/0316540714/ref=sr_1_32?qid=1639358282&s=books&sr=1-32,"Mystery, Thriller & Suspense","Bill Clinton, James Patterson, ",https://m.media-amazon.com/images/I/71mlWoJEzIL._AC_UY218_.jpg
0,historical,The Crystal Bible (The Crystal Bible Series),"definitive, unorganized, big, specific, basic, scientific, real, historical, dear, thie,",https://www.amazon.com/Crystal-Bible-Judy-Hall/dp/1582972400/ref=sr_1_24?qid=1639357921&s=books&sr=1-24,Self-Help,"Judy Hall, ",https://m.media-amazon.com/images/I/71xnybWKFgL._AC_UY218_.jpg
0,historical,Zero Fail: The Rise and Fall of the Secret Service,"little, accepted, true, special, historical, anecdotal, shocking, national, well, significant,",https://www.amazon.com/Zero-Fail-Rise-Secret-Service/dp/0399589015/ref=sr_1_24?qid=1639358583&s=books&sr=1-24,Law,"Carol Leonnig, ",https://m.media-amazon.com/images/I/81NdWmk6aUL._AC_UY218_.jpg
0,historical,"National Geographic Complete National Parks of the United States: 400+ Parks, Monuments, Battlefields, Historic Sites, Scenic Trails, Recreation Areas, and Seashores","beautiful, bent, helpful, detailed, natural, bad, specific, wet, colorful, clear,",https://www.amazon.com/National-Geographic-Complete-United-States/dp/1426216920/ref=sr_1_27?qid=1639356496&s=books&sr=1-27,Travel,"Mel White, ",https://m.media-amazon.com/images/I/81DFe3KftNL._AC_UY218_.jpg
0,historical,The Lyrics: 1956 to the Present,"great, magnificent, outside, poor, available, personal, big, obscure, underplayed, true,",https://www.amazon.com/Lyrics-1956-Present-Paul-McCartney/dp/163149256X/ref=sr_1_1?qid=1636073806&qsid=134-0882868-5928735&s=books&sr=1-1&sres=163149256X%2C0762499508%2C0063076098%2C1250765781%2C125083239X%2C1419732447%2C1510765549%2C0593577922%2C0935112960%2C0063090023%2C080241270X%2C0545231493%2C0692927999%2C1984877925%2C030692370X%2C1647224098,Arts & Photography,"Paul McCartney, Paul Muldoon, ",https://m.media-amazon.com/images/I/81gXN4x0cuL._AC_UY218_.jpg
0,historical,The Storyteller: Tales of Life and Music,"little, terrible, huge, gifted, authentic, generous, sure, well, verbal, ho,",https://www.amazon.com/Storyteller-Tales-Life-Music/dp/B091WVM1JD/ref=sr_1_3?qid=1636073806&qsid=134-0882868-5928735&s=books&sr=1-3&sres=163149256X%2C0762499508%2C0063076098%2C1250765781%2C125083239X%2C1419732447%2C1510765549%2C0593577922%2C0935112960%2C0063090023%2C080241270X%2C0545231493%2C0692927999%2C1984877925%2C030692370X%2C1647224098,Arts & Photography,"Dave Grohl, ",https://m.media-amazon.com/images/I/81X5gR504zL._AC_UY218_.jpg
0,historical,Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,"drunk, known, certain, horrible, grammatical, awful, messy, sure, easy, documentary,",https://www.amazon.com/Not-All-Diamonds-Ros%C3%A9-Housewives/dp/1250765781/ref=sr_1_19?qid=1639356780&s=books&sr=1-19,Arts & Photography,"Dave Quinn, ",https://m.media-amazon.com/images/I/71Y5nYG+EIL._AC_UY218_.jpg
1,asian culture,Discrimination and Disparities,"great, cultural, clear, rigorous, confused, good, educated, difficult, interesting,",https://www.amazon.com/Discrimination-and-Disparities-audiobook/dp/B078N861YQ/ref=sr_1_26?qid=1639358583&s=books&sr=1-26,Law,"Thomas Sowell, ",https://m.media-amazon.com/images/I/71YJV7aVRQL._AC_UY218_.jpg
1,asian culture,The Bitcoin Standard: The Decentralized Alternative to Central Banking,"modern, subject, outlandish, ill, classic, vulgar, cultural, irrelevant, nice, current,",https://www.amazon.com/Bitcoin-Standard-Decentralized-Alternative-Central/dp/1119473861/ref=sr_1_24?qid=1639358116&s=books&sr=1-24,Business & Money,"Saifedean Ammous, ",https://m.media-amazon.com/images/I/71jDLpPMdFS._AC_UY218_.jpg
1,asian culture,Cravings: All Together: Recipes to Love: A Cookbook,"hard, weird, classic, indulgent, beautiful, excited, asian, quick, picky, interested,",https://www.amazon.com/Cravings-Together-Recipes-Love-Cookbook/dp/0593135423/ref=sr_1_32?qid=1639357009&s=books&sr=1-32,"Cookbooks, Food & Wine","Chrissy Teigen, ",https://m.media-amazon.com/images/I/91kvJRe+66L._AC_UY218_.jpg
