Title,Title_and_tag,Tag,Link,Category,Author,Image
The Lyrics: 1956 to the Present,"The Lyrics: 1956 to the Present, paul recollections sadly songwriters dented amazon read beatle march obscure",paul recollections sadly songwriters dented amazon read beatle march obscure,https://www.amazon.com/Lyrics-1956-Present-Paul-McCartney/dp/163149256X/ref=sr_1_1?qid=1636072434&s=books&sr=1-1,Biographies,"Paul Muldoon, Paul McCartney, ",https://m.media-amazon.com/images/I/81gXN4x0cuL._AC_UY218_.jpg
The Storyteller: Tales of Life and Music,"The Storyteller: Tales of Life and Music, grohl songwriting review especially routine disingenuous david pages falling fogerty",grohl songwriting review especially routine disingenuous david pages falling fogerty,https://www.amazon.com/Storyteller-Tales-Life-Music/dp/B091WVM1JD/ref=sr_1_2?qid=1636072434&s=books&sr=1-2,Biographies,"Dave Grohl, ",https://m.media-amazon.com/images/I/81X5gR504zL._AC_UY218_.jpg
Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,"Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It, tea publishes quinn read awful script commentary snoozer received cigs",tea publishes quinn read awful script commentary snoozer received cigs,https://www.amazon.com/Not-All-Diamonds-Ros%C3%A9-Housewives/dp/1250765781/ref=sr_1_3?qid=1636072434&s=books&sr=1-3,Biographies,"Dave Quinn, ",https://m.media-amazon.com/images/I/71BMsKPqsIS._AC_UY218_.jpg
Peril,"Peril, woodward factual liberalism dice talk biden espionage covid19 manner allowed",woodward factual liberalism dice talk biden espionage covid19 manner allowed,https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911/ref=sr_1_4?qid=1636072434&s=books&sr=1-4,Biographies,"Bob Woodward, ",https://m.media-amazon.com/images/I/71gk+H+yEkL._AC_UY218_.jpg
Going There,"Going There, katie intellectually couric paycheck btw calculating assertive recycling publishes navigate",katie intellectually couric paycheck btw calculating assertive recycling publishes navigate,https://www.amazon.com/Going-There-Katie-Couric/dp/0316535869/ref=sr_1_5?qid=1636072434&s=books&sr=1-5,Biographies,"Katie Couric, ",https://m.media-amazon.com/images/I/71oL0IZ7VQS._AC_UY218_.jpg
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876, insurrection baier read antifa century biography lowercase absurd wokism color",insurrection baier read antifa century biography lowercase absurd wokism color,https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_6?qid=1636072434&s=books&sr=1-6,Biographies,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,"Midnight in Washington: How We Almost Lost Our Democracy and Still Could, scandal pages unbelievably playwright ready delegitimize leftist value capitol grind",scandal pages unbelievably playwright ready delegitimize leftist value capitol grind,https://www.amazon.com/Midnight-Washington-Almost-Democracy-Still/dp/059323152X/ref=sr_1_8?qid=1636072434&s=books&sr=1-8,Biographies,"Adam Schiff, ",https://m.media-amazon.com/images/I/81GsPCydFPL._AC_UY218_.jpg
Taste: My Life Through Food,"Taste: My Life Through Food, recipes andouillette gruesome maybe goat index read culture included surf",recipes andouillette gruesome maybe goat index read culture included surf,https://www.amazon.com/Taste-My-Life-Through-Food/dp/1982168013/ref=sr_1_9?qid=1636072434&s=books&sr=1-9,Biographies,"Stanley Tucci, ",https://m.media-amazon.com/images/I/71xPLm2FenL._AC_UY218_.jpg
The Boys: A Memoir of Hollywood and Family,"The Boys: A Memoir of Hollywood and Family, book clint opened sanitized interesting missing nobel tape bonded revealing",book clint opened sanitized interesting missing nobel tape bonded revealing,https://www.amazon.com/Boys-Memoir-Hollywood-Family/dp/006306524X/ref=sr_1_11?qid=1636072434&s=books&sr=1-11,Biographies,"Ron Howard, ",https://m.media-amazon.com/images/I/91uW0MrQtwL._AC_UY218_.jpg
The 48 Laws of Power,"The 48 Laws of Power, psychopathic practice indicators fairness archetype addresses abuses smiled vincent seneca",psychopathic practice indicators fairness archetype addresses abuses smiled vincent seneca,https://www.amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197/ref=sr_1_12?qid=1636072434&s=books&sr=1-12,Biographies,"Robert Greene, ",https://m.media-amazon.com/images/I/71951W96oWL._AC_UY218_.jpg
Vanderbilt: The Rise and Fall of an American Dynasty,"Vanderbilt: The Rise and Fall of an American Dynasty, cooper pages upbringing fact diary blathered imdb rating hopefully beautiful",cooper pages upbringing fact diary blathered imdb rating hopefully beautiful,https://www.amazon.com/Vanderbilt-Rise-Fall-American-Dynasty/dp/0062964615/ref=sr_1_13?qid=1636072434&s=books&sr=1-13,Biographies,"Katherine Howe, Anderson Cooper, ",https://m.media-amazon.com/images/I/81ur4nwZdBL._AC_UY218_.jpg
"Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom","Feeding the Soul (Because It's My Business): Finding Our Way to Joy, Love, and Freedom, brown mrs everlasting unfortunate pages genie vegan expectations does discourse",brown mrs everlasting unfortunate pages genie vegan expectations does discourse,https://www.amazon.com/Feeding-Soul-Because-Its-Business/dp/0063080281/ref=sr_1_14?qid=1636072434&s=books&sr=1-14,Biographies,"Tabitha Brown, ",https://m.media-amazon.com/images/I/81X3XjKb3KL._AC_UY218_.jpg
Plandemic: Fear Is the Virus. Truth Is the Cure.,"Plandemic: Fear Is the Virus. Truth Is the Cure.,",,https://www.amazon.com/Plandemic-Fear-Virus-Truth-Cure/dp/1510765549/ref=sr_1_15?qid=1636072434&s=books&sr=1-15,Biographies,"Mikki Willis, ",https://m.media-amazon.com/images/I/71MFYGSqImL._AC_UY218_.jpg
The Lincoln Highway: A Novel,"The Lincoln Highway: A Novel, literary deal moscow meatpacking exercise emmett letdown maybe younger uninteresting",literary deal moscow meatpacking exercise emmett letdown maybe younger uninteresting,https://www.amazon.com/Lincoln-Highway-Novel-Amor-Towles-ebook/dp/B08WRH53MY/ref=sr_1_1?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-1&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Amor Towles, ",https://m.media-amazon.com/images/I/81GrCFh4oEL._AC_UY218_.jpg
Fizban's Treasury of Dragons (Dungeon & Dragons Book) (Dungeons & Dragons),"Fizban's Treasury of Dragons (Dungeon & Dragons Book) (Dungeons & Dragons), dragonlance glad publish average fizban probably underwhelming spend wotc watercolors",dragonlance glad publish average fizban probably underwhelming spend wotc watercolors,https://www.amazon.com/Fizbans-Treasury-Dragons-Dungeon-Dungeons/dp/0786967293/ref=sr_1_2?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-2&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Wizards RPG Team, ",https://m.media-amazon.com/images/I/81vkPphfchS._AC_UY218_.jpg
The Judge's List: A Novel,"The Judge's List: A Novel, novel wouldn camino grisham maggots worthwhile downloaded returns terrified spying",novel wouldn camino grisham maggots worthwhile downloaded returns terrified spying,https://www.amazon.com/The-Judges-List-A-Novel/dp/B093N8JP2B/ref=sr_1_3?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-3&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"John Grisham, ",https://m.media-amazon.com/images/I/71N7vj5cSkL._AC_UY218_.jpg
The Stranger in the Lifeboat: A Novel,"The Stranger in the Lifeboat: A Novel,",,https://www.amazon.com/Stranger-Lifeboat-Novel-Mitch-Albom/dp/006288834X/ref=sr_1_4?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-4&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Mitch Albom, ",https://m.media-amazon.com/images/I/71rDThWVwES._AC_UY218_.jpg
It Ends with Us: A Novel,"It Ends with Us: A Novel, novel hoover maybe bodice glad neurosurgeon spunky reviews dates empowering",novel hoover maybe bodice glad neurosurgeon spunky reviews dates empowering,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=sr_1_5?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-5&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Colleen Hoover, ",https://m.media-amazon.com/images/I/71xUvuJiqgL._AC_UY218_.jpg
State of Terror: A Novel,"State of Terror: A Novel, bestseller trite definitely interventions dossier hilary bother spirited dollar impelled",bestseller trite definitely interventions dossier hilary bother spirited dollar impelled,https://www.amazon.com/State-Terror-Novel-Louise-Penny/dp/198217367X/ref=sr_1_6?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-6&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Louise Penny, Hillary Rodham Clinton, ",https://m.media-amazon.com/images/I/71ogguMNzHS._AC_UY218_.jpg
The Wish,"The Wish, novel leukemia honest returning budding nicholas sparks didn depressing captivating",novel leukemia honest returning budding nicholas sparks didn depressing captivating,https://www.amazon.com/The-Wish/dp/B0944BZ5XX/ref=sr_1_8?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-8&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Nicholas Sparks, ",https://m.media-amazon.com/images/I/81wPRktVjGL._AC_UY218_.jpg
Cloud Cuckoo Land: A Novel,"Cloud Cuckoo Land: A Novel, novels hoping continuity enjoyed constantinople fairy climate uninspiring simplified copy",novels hoping continuity enjoyed constantinople fairy climate uninspiring simplified copy,https://www.amazon.com/Cloud-Cuckoo-Land-Anthony-Doerr/dp/1982168439/ref=sr_1_9?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-9&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Anthony Doerr, ",https://m.media-amazon.com/images/I/81Ta5Jce+eL._AC_UY218_.jpg
Apples Never Fall,"Apples Never Fall, novel calories refund cared pedicure central cramp downloading definitely disjointed",novel calories refund cared pedicure central cramp downloading definitely disjointed,https://www.amazon.com/Apples-Never-Fall/dp/B08V8939WY/ref=sr_1_10?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-10&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Liane Moriarty, ",https://m.media-amazon.com/images/I/81ZV+TzlboL._AC_UY218_.jpg
The Last Thing He Told Me: A Novel,"The Last Thing He Told Me: A Novel, hannah obsequiousness surprising protect endings readings spineless suspend rated witherspoon",hannah obsequiousness surprising protect endings readings spineless suspend rated witherspoon,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348/ref=sr_1_11?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-11&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Laura Dave, ",https://m.media-amazon.com/images/I/51G2Y+mbUpL._AC_UY218_.jpg
The Seven Husbands of Evelyn Hugo: A Novel,"The Seven Husbands of Evelyn Hugo: A Novel, novel average regardless conservative subplot preachy reviews ingenue peek meaningful",novel average regardless conservative subplot preachy reviews ingenue peek meaningful,https://www.amazon.com/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938/ref=sr_1_12?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-12&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Taylor Jenkins Reid, ",https://m.media-amazon.com/images/I/716Tlym5yRL._AC_UY218_.jpg
Better Off Dead: A Jack Reacher Novel,"Better Off Dead: A Jack Reacher Novel, reacher intensity remorse flatfooted bring reviews damsel probably tables inanimate",reacher intensity remorse flatfooted bring reviews damsel probably tables inanimate,https://www.amazon.com/Better-Off-Dead-Reacher-Novel-ebook/dp/B08SBMCSQQ/ref=sr_1_13?qid=1636072681&qsid=140-8072226-5087463&s=books&sr=1-13&sres=0735222355%2C0786967293%2C0385546025%2C006288834X%2C1501110365%2C198217367X%2C1101885688%2C1538728621%2C1982168439%2C1250220254%2C1501171348%2C1501161938%2C1984818503%2C198215487X%2C0593160290%2C1684512719,Literature & Fiction,"Lee Child, ",https://m.media-amazon.com/images/I/81s62RyNcUL._AC_UY218_.jpg
