Title,Title_and_tag,Tag,Link,Category,Author,Image
The Lyrics: 1956 to the Present,"The Lyrics: 1956 to the Present beatles big hit, beatles photo, beatles era, post beatles, magnificent book collection, poor quality control, great songwriter, great read, audience primary interest, mccartney memoir,","beatles big hit, beatles photo, beatles era, post beatles, magnificent book collection, poor quality control, great songwriter, great read, audience primary interest, mccartney memoir,",https://www.amazon.com/Lyrics-1956-Present-Paul-McCartney/dp/163149256X/ref=sr_1_1?qid=1636072434&s=books&sr=1-1,Biographies,"Paul McCartney, Paul Muldoon, ",https://m.media-amazon.com/images/I/81gXN4x0cuL._AC_UY218_.jpg
The Storyteller: Tales of Life and Music,"The Storyteller: Tales of Life and Music second book, star ho hum review, basic story, grohl fan, od story, david grohl, house story, lot missing, preventa hace ya, paul mccartney,","second book, star ho hum review, basic story, grohl fan, od story, david grohl, house story, lot missing, preventa hace ya, paul mccartney,",https://www.amazon.com/Storyteller-Tales-Life-Music/dp/B091WVM1JD/ref=sr_1_2?qid=1636072434&s=books&sr=1-2,Biographies,"Dave Grohl, ",https://m.media-amazon.com/images/I/81X5gR504zL._AC_UY218_.jpg
Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,"Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It book amazon, book cover, andy cohens publishing company, strong feeling concerning brandi, drunk woman, good story, andy cohen, thing, good condition, disgusting multiple round,","book amazon, book cover, andy cohens publishing company, strong feeling concerning brandi, drunk woman, good story, andy cohen, thing, good condition, disgusting multiple round,",https://www.amazon.com/Not-All-Diamonds-Ros%C3%A9-Housewives/dp/1250765781/ref=sr_1_3?qid=1636072434&s=books&sr=1-3,Biographies,"Dave Quinn, ",https://m.media-amazon.com/images/I/71BMsKPqsIS._AC_UY218_.jpg
Peril,"Peril great espionage book, great thing trump, president trump, great politician, great dad, theater starring good dems, general milley wonder, making big money, complete liberal hack job, partisan bias,","great espionage book, great thing trump, president trump, great politician, great dad, theater starring good dems, general milley wonder, making big money, complete liberal hack job, partisan bias,",https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911/ref=sr_1_4?qid=1636072434&s=books&sr=1-4,Biographies,"Bob Woodward, ",https://m.media-amazon.com/images/I/71gk+H+yEkL._AC_UY218_.jpg
Going There,"Going There young woman, book sale tank, famous woman, best-selling book, superficial book, woman struggling, not-very-nice woman, charitable cancer work, cbs news, famous men,","young woman, book sale tank, famous woman, best-selling book, superficial book, woman struggling, not-very-nice woman, charitable cancer work, cbs news, famous men,",https://www.amazon.com/Going-There-Katie-Couric/dp/0316535869/ref=sr_1_5?qid=1636072434&s=books&sr=1-5,Biographies,"Katie Couric, ",https://m.media-amazon.com/images/I/71oL0IZ7VQS._AC_UY218_.jpg
"To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876","To Rescue the Republic: Ulysses S. Grant, the Fragile Union, and the Crisis of 1876 chernows book, book unnecessary, five-star book, decent book, book open, shared american ideology, ron chernows biography, irritating woke propaganda inherent, never-trumper baier hype, late nineteenth century,","chernows book, book unnecessary, five-star book, decent book, book open, shared american ideology, ron chernows biography, irritating woke propaganda inherent, never-trumper baier hype, late nineteenth century,",https://www.amazon.com/Rescue-Republic-Ulysses-Fragile-Crisis/dp/0063039540/ref=sr_1_6?qid=1636072434&s=books&sr=1-6,Biographies,"Bret Baier, ",https://m.media-amazon.com/images/I/81u8pA8kNEL._AC_UY218_.jpg
Midnight in Washington: How We Almost Lost Our Democracy and Still Could,"Midnight in Washington: How We Almost Lost Our Democracy and Still Could adam schiff, book, shifty schiff, vice president joe, ukrainian energy company burisma, opposing party, democratic party, ukrainian president, criminal investigation, fbi investigation,","adam schiff, book, shifty schiff, vice president joe, ukrainian energy company burisma, opposing party, democratic party, ukrainian president, criminal investigation, fbi investigation,",https://www.amazon.com/Midnight-Washington-Almost-Democracy-Still/dp/059323152X/ref=sr_1_8?qid=1636072434&s=books&sr=1-8,Biographies,"Adam Schiff, ",https://m.media-amazon.com/images/I/81GsPCydFPL._AC_UY218_.jpg
Taste: My Life Through Food,"Taste: My Life Through Food recipe, family memory, unnecessary ingredient, italian culture, delivery hassle, witty text, delicious journey, depiction, andouillette, gruesome,","recipe, family memory, unnecessary ingredient, italian culture, delivery hassle, witty text, delicious journey, depiction, andouillette, gruesome,",https://www.amazon.com/Taste-My-Life-Through-Food/dp/1982168013/ref=sr_1_9?qid=1636072434&s=books&sr=1-9,Biographies,"Stanley Tucci, ",https://m.media-amazon.com/images/I/71xPLm2FenL._AC_UY218_.jpg
The Boys: A Memoir of Hollywood and Family,"The Boys: A Memoir of Hollywood and Family white tape stuck, book cover, 77-107 missing, excellent read, clint, story, ron, hand, future, unable,","white tape stuck, book cover, 77-107 missing, excellent read, clint, story, ron, hand, future, unable,",https://www.amazon.com/Boys-Memoir-Hollywood-Family/dp/006306524X/ref=sr_1_11?qid=1636072434&s=books&sr=1-11,Biographies,"Ron Howard, ",https://m.media-amazon.com/images/I/91uW0MrQtwL._AC_UY218_.jpg
The 48 Laws of Power,"The 48 Laws of Power reading book, power hungry people, popular book, narcissistic people, push people, holy people, decent people, black eye full, power hungry, power dynamic,","reading book, power hungry people, popular book, narcissistic people, push people, holy people, decent people, black eye full, power hungry, power dynamic,",https://www.amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197/ref=sr_1_12?qid=1636072434&s=books&sr=1-12,Biographies,"Robert Greene, ",https://m.media-amazon.com/images/I/71951W96oWL._AC_UY218_.jpg
